,id,seeker_post,response_post,ER_label,IP_label,EX_label,conv_type
23,23,"how can sturgis be a ""clear warning"" when there is no data to make such an evaluation because it just happened???",it was a warning that the cyclists will not be self-responsible and wear masks therefore they must be required this is not even a little confusing,0,0,0,between
24,24,the smidge of credibility fox had left hanging before trump has been completely wiped off the face of the earth. their complacency during the trump presidency as he broke every norm and sent us spiraling as a nation renders any future coverage null and void.,and you believe the koolaid makers at msnbc and cnn?,0,0,0,between
25,25,...because the charleston plantation tours aren’t acknowledging their history? or are we talking about plates across downtown charleston explaining what everything was pre-civil war? what would acknowledging it’s history look like?,it's a long story.,0,0,0,within
26,26,"many women accused epstein of abuse, from when they were teenagers. clinton involved too. so i’m sorry..  what’s the real issue?",wtf are you mumbling about?,0,0,2,between
27,27,"chris wallace.
once again one of the only people on fox news who has any credibility or reason.","look at her voting record...
hard left.",0,0,0,between
28,28,"chris wallace.
once again one of the only people on fox news who has any credibility or reason.",says the socialist ... bernie sanders supporter ... 🤣,0,0,0,between
29,29,"trump has also agreed to emancipate the slaves and end slavery.

and he is working on a new deal to end the covid economic depression.",i hear he has a 14 point plan.,0,0,0,within
30,30,"hey chs ppl: ""the market"" lol",slaves were never sold at the city market.,0,0,0,between
31,31,it’s off the charts folks...,yep. republicans are spewing lots of it trying to find any angle they can because they are desperate,0,2,0,between
32,32,"nope, she's another corporate-owned centrist, and a cop, to boot.","would she prosecute a man who raped two, thirteen year olds? if so, i have a suspect.",0,0,2,within
33,33,"nope, she's another corporate-owned centrist, and a cop, to boot.",...and i’m voting as enthusiastically as i would if the ticket were warrenaoc2020,0,0,0,within
34,34,"if it has to acknowledge its part in slavery, then black people have to acknowledge that states like california and a whole bunch of other states had nothing to do with african slavery, so did a bunch of white people?",those states burned down all black towns and tortured indigenous tribes.,0,2,0,within
35,35,i remember a tour of a plantation nearby where the tour guide stated the slaves had better lives prior to emancipation. that was in 2007.,"stunning willful ignorance.  sure, roof over your head.  and whatever, your children being sold away.  using difficulties after emancipation to downplay the horror of slavery is the height of victim-blaming.",0,0,0,within
36,36,she's not. she's a moderate. but that won't stop the gop from lying.,"open borders, free healthcare, infanticide aren’t moderate in the slightest. 

seek help.",0,0,0,between
37,37,nooo  !!!!,exactly!! reading books (besides the bible) is dumb! what would atticus and boo think??,0,0,2,within
38,38,"no, because you have to be a subscriber to play the game.",you’re right. nyt employees should work for free.,0,0,0,within
39,39,she said her first action as president would be to violate her oath of office and the constitution. she said she would take everyone’s guns and not wait for congress to do anything. how far left is that?,not true !!!!,0,0,0,between
40,40,they should be able to ask health questions of joe! and he should have to answer them! he’s obviously in much better mental and physical shape then the orange orb!!! bring it...,you know you're wrong,0,0,0,between
41,41,fire dept can easily water down the building. i'm just saying.,"what about all the leo(s) that were assaulted by blm terrorists ?? 

what about the people that were trapped inside a federal court house as antifa/ radical leftists/ blm marxists and terrorists attempted to burn it down, and ultimately killing those inside !!!!!",0,2,0,between
42,42,trust me it doesn't,what doesn't exist?,0,0,2,within
43,43,"""when the mobs of protesters declare 'black lives matter,' does that mean all black lives matter — or only the less than one percent of black lives lost in conflicts with police?"" - thomas sowell",the mob....,0,0,0,between
44,44,because  is a racist,you talking about  🤔,0,0,0,between
45,45,"i don’t think trump is capable of understanding he is not hurting obama w trumps idiotic change or revoking policy; doesn’t hurt obama at all.. it hurts our american people, >pollutes water air soil; removed housing for those who need to downsize and stay in their area etc","we don't want housing in our suburban neighborhoods. obama shouldn't have had a right to do it without taking people's opinions on the subject. from a homeowner in a suburb, i am glad as hell‍♀️make our neighborhoods safe again!",1,0,0,between
46,46,"la desesperacion y el miedo d perder la re-eleccion y d ir a la carcel llevaran a trump hacer hasta lo imposible x kdarse en el poder  pero el pueblo unido con los candidatos democratas
  k tenemos si no votamos seremos los mas pentontos del mundo solo hay k morder el pan.",mierda.,0,0,0,between
47,47,why can't dear leader walk down a ramp without hanging on to someone?  why can't he take cup to his protruding mouth without the water spilling due to the violent shaking of his hand?  voters want to know.,shut up,0,0,0,between
48,48,trump wants to defund social security...literally.,i think you need your hearing checked,0,0,0,between
49,49,trump wants to defund social security...literally.,abolish not defund.,0,0,0,within
50,50,trump wants to defund social security...literally.,yes but that is not y he is doing it it’s because it will put thousands of dollars in trump’s pocket from his business because he is money  hungry and broke,0,0,0,within
51,51,he does not have this power under the constitution. waiting to hear the constitutional conservatives speak up...,"obama did it in 2011, so there’s precedent.",0,0,0,between
52,52,give them consequences to their actions,same for the business owners that are open when they are suppose to be,0,0,0,between
53,53,obviously trump supporters,yet we don’t break the law🤔🤔,0,0,0,between
54,54,"how many of you had your insurance rates go way up thanks to obamacare? as a business owner i thought rates would be affordable, nope! and the wealthy pay so much extra in taxes for this fraudulent healthcare system. must be the reason why tx is suing for obamacare tax refunds",i'm alive today because of it. so it's good to know you have a price you're willing to pay for the loss of life.,0,2,0,between
55,55,identitarians.,identity has been attacked for quite some time. ask a black person. they are identified before they speak. from far...,0,0,0,between
56,56,when has he ever not lied? anyone?,buehler.  buehler.,0,0,0,within
57,57,when has he ever not lied? anyone?,when he said he was gonna be president.,0,2,0,between
58,58,sounds like the school is racist. liberals should shut them down as well....,being an ignorant p*ick to own the libs. quite daring of you.,0,0,0,within
59,59,let me guess. he’s going to use that wall money mexico is sending to fund social security?,"or, mexico will pay for ss.",0,0,0,within
60,60,how? he knows nothing of economics!,he's got a degree in economics...,0,0,0,between
61,61,how? he knows nothing of economics!,you know he’s a billionaire and real estate mogul right?,0,0,2,between
62,62,how? he knows nothing of economics!,he knows nothing in general.,0,0,0,within
63,63,it is what it is.,will that be your reaction when rbg finally bites the dust?,0,0,2,between
64,64,translation: say goodbye to social security.,let’s hope so. the sooner i’m set free from that ponzi scheme the better.,0,0,0,between
65,65,it is what it is.,“i take no responsibility” -donald j trump,0,0,0,within
66,66,that's a lie and trump knows it. he's looking to end our social security and medicare.,"even worse....he's looking to privatize it.  if he had his way, we would still pay payroll tax but it would go into wall street instead of social security trust fund.  anything to make his rich buddies even richer!",0,2,0,within
67,67,that's a lie and trump knows it. he's looking to end our social security and medicare.,"if u ever done ur own taxes as bussnies owner u would know just how crooked the tax is set up. it's a 15% tax on every dollar capped at 132k so me at 130k yr pays 38%tax but if i make 1mil i pay 23%tax. ss taxes the poor to keep them poor.
 should b4% no cap.trump forces conversa",0,2,0,between
68,68,that's a lie and trump knows it. he's looking to end our social security and medicare.,🤡🤡🤡🤡🤮🤮🤮🤮🤮,0,0,0,between
69,69,"didnt we have months of protests, years, in the 1960s? seems we survived",nothing good came from those riots either .,0,0,0,between
70,70,"he doesn’t care about us.. he’s back peddling trying to look good... stop stealing obama’s ideas and get your own!  “we ain’t buying what you’re selling” ps, you’re not getting my ss/medicare i’ve paid into for 37 years!","ps he's not asking for it and i'm sure you don't have a health plan called obama care because you have to be dirt poor or you pay more than your house payment, congress doesn't even have it ask yourself why?",0,0,0,between
71,71,still waiting for that obamacare repeal and replace that was  going to happen in 2017.,he did? it’s called if you don’t have the stupid non affordable o bummer care you don’t get a damn tax penalty that was illegal to begin with.,0,0,0,within
72,72,finally a judge who upholds the rule of law!,good!,1,0,0,within
73,73,"he's had enough time to do this - but he hasn't! how does everything else he promised! on the contrary - he has built a network of racism, lies, corruption and crime!",the supreme court literally just ruled in favor of daca that gives him this power.  no one thought he could before that.,0,2,0,between
74,74,let's have a list of trump promises that he's not delivered:  de-nuclearized nk? no. de-nuclearized iran? no. a completed wall? no. health care plan signed by august 2? no. timely/effective response to covid-19? no.  so...you believe he will forgive deferred payroll taxes?,"how about show us his taxes after he was elected? nope. quite the opposite, he's fighting tooth and nail to keep them hidden.",0,0,0,within
75,75,let's have a list of trump promises that he's not delivered:  de-nuclearized nk? no. de-nuclearized iran? no. a completed wall? no. health care plan signed by august 2? no. timely/effective response to covid-19? no.  so...you believe he will forgive deferred payroll taxes?,no..,0,0,0,within
76,76,let's have a list of trump promises that he's not delivered:  de-nuclearized nk? no. de-nuclearized iran? no. a completed wall? no. health care plan signed by august 2? no. timely/effective response to covid-19? no.  so...you believe he will forgive deferred payroll taxes?,"iran never had nuclear weapons, so it’d be pretty hard to denuclearize them.",0,0,0,between
77,77,let's have a list of trump promises that he's not delivered:  de-nuclearized nk? no. de-nuclearized iran? no. a completed wall? no. health care plan signed by august 2? no. timely/effective response to covid-19? no.  so...you believe he will forgive deferred payroll taxes?,no,0,0,0,within
78,78,who will you delegate this assignment to? 🤔,mnuchin,0,0,0,within
79,79,he cannot cut taxes...only congress can.,"obama did it in 2011, so obviously you can. the question is whether you should.",0,0,0,between
80,80,"didnt we have months of protests, years, in the 1960s? seems we survived","these people have been at it for 5 years, people are finally waking up to what antifa is all about.",0,0,0,between
81,81,why is she on tv more than the candidate?,it his spokesperson because apparently biden makes a fool of himself everytime he speaks. lol,0,0,0,within
82,82,yuk!  has he smelled her hair yet?,smell her hair is cool.....he wont grab her by the pussy tho,0,0,0,between
83,83,"he will end your benefits.    
he does not believe in supporting social programs and ss and medicare are social programs.
he believes your tax dollars should be spent by him and only by him.

take a look at your lowered unemployment benefits 600 to 400",300 and that's doubtful.,0,0,0,within
84,84,yuk!  has he smelled her hair yet?,you must think grabbing pussy is better,0,0,0,between
85,85,"he will end your benefits.    
he does not believe in supporting social programs and ss and medicare are social programs.
he believes your tax dollars should be spent by him and only by him.

take a look at your lowered unemployment benefits 600 to 400","the “lowered” benefits are still higher than normal btw. he lowered the extra sum on top of what the unemployment benefits were, not the benefits themselves. is intellectual honesty going extinct or what?",0,0,2,between
86,86,"he will end your benefits.    
he does not believe in supporting social programs and ss and medicare are social programs.
he believes your tax dollars should be spent by him and only by him.

take a look at your lowered unemployment benefits 600 to 400",unemployment hahaha called go get a damn essential job and stop trying to get paid to sit on your ass. mask up and get to work,0,0,0,within
87,87,too late to earn another term. you have spent trillions podding in the wind on convid pandemic,"not to mention all the golf trips to a tune of $139,000,000",0,2,0,within
88,88,so where is the money to fund it to come from?  doesn’t make sense,"he said growth in economy.  not sure that’s believable.  but, i’m willing to hear it out.",0,0,0,between
89,89,so where is the money to fund it to come from?  doesn’t make sense,"maybe he will pay back the $139,000,000 dollars that he has cost taxpayers for his golf outings. something he said that he would be too busy to do and something that he criticized president obama for",0,0,0,within
90,90,so where is the money to fund it to come from?  doesn’t make sense,mexico!,0,0,0,within
91,91,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,like  and  had the chance to do for 8 years?🤣🤣🤣🤣,0,2,0,between
92,92,trump is right.  the extreme right has taken over the gop and destroyed any good republicans had.,"🤣🤣🤣 wtf even is ""extreme right""? super independent? ultra anti-abortion? legendary common sense pragmatist?  🤷‍♂️",0,0,0,between
93,93,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,beijing biden is a train wreck,0,0,0,between
94,94,"sadly, he may be right. the  is gone. off the deep end, crazy.",can’t find anyone else who has the hashtag.,0,0,0,within
95,95,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,in the march toward socialism lol,0,0,0,between
96,96,"utterly disgusting and reprehensible.  which is why it was so refreshing to see biden and harris speeches today...they instilled hope, cohesiveness, truth, optimism, vision, coherence, and authenticity.",no conspiracy theories here...,0,0,0,between
97,97,"or desperation from poor ppl. this gaslighting is worse than 'let them eat cake""","if you've ever traveled to truly *poor* countries (not us), and observed how people with absolutely nothing, working for pennies an hour, whose governments provide nothing, live their lives and act toward one another, you'd understand that it has nothing to do with desperation.",0,0,0,within
98,98,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,f them,0,0,0,between
99,99,"or desperation from poor ppl. this gaslighting is worse than 'let them eat cake""","okay, dummy.",1,0,0,between
100,100,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,on your knees kamala,1,0,0,between
101,101,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,knee pads and pee pads,0,0,0,between
102,102,possibly  is changing parties? october surprise...,"romney is a really dull knife in the kitchen drawer, but i'm sure he's not that stupid.",0,0,0,within
103,103,"tacky. shameful, nyt.",how?,0,0,2,between
104,104,you get what you vote for,she looks like the corona in your photo 🤣,0,0,0,within
105,105,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,would you like to rub his hairy legs in the pool and learn about roaches?,0,0,0,between
106,106,"tacky. shameful, nyt.","how? genuinely, what about this tweet upsets you?",0,0,2,between
107,107,then why don’t you “plan” how to arrest them.  let me borrow your crayons and i’ll draw a picture for you.,elite response,0,0,0,between
108,108,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,yes indeed!...now let's go spy on someone!,0,0,0,between
109,109,"tacky. shameful, nyt.",idiot!,0,0,0,between
110,110,"the looters also attacked a ronald mcdonald house with children inside, and assaulted a father coming out of a pediatric cancer hospital with his child in birmingham, al. please help to stop this brutality by reporting these stories!","does have a story on it. strange they're not pumping it on twitter. 

maybe because all those looters will vote democrat in november.",0,0,0,within
111,111,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,no thanks. they are horrible. they couldn’t bring all americans together if they paid everyone to do so. people loathe both biden and harris. harris is a mean pos the way she treated justice brett k. biden is as dumb as a rock and getting worse.,0,2,0,between
112,112,"tacky. shameful, nyt.",i'm joining the others on asking what was tacky or shameful in this?,0,0,2,between
113,113,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,,0,0,0,between
114,114,"tacky. shameful, nyt.",what is tacky or shameful?,0,0,2,between
115,115,"tacky. shameful, nyt.",what the fuck...?,0,0,0,between
116,116,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,,0,0,0,between
117,117,"tacky. shameful, nyt.",how exactly? have you had loved ones die of covid-19 recently? 🤔,0,0,2,between
118,118,“not permanent”. thank god!,"you living in your moms basement
“is permanent” 

do better",0,0,0,between
119,119,this dude is an international terrorist that profits off destroying western societies.,"bingo. soros is the absolute definition of evil. you could fuse trump, putin, and jinping together and does not even equal 1/100 of this guy's evil.",0,0,0,between
120,120,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,do you mean the pandering? yeah i haven't heard it either unless i'm watching msm.,0,0,2,between
121,121,"of course, we all grieve differently. mr donald trump just grieves on the back 9.",,0,0,0,within
122,122,"soros is a terroist who wants to destroy this country, whether you hate trump or not. listening to this dude means you hate trump more than you care about america.",unfortunately there are more people in this country who are at that point.,0,0,0,between
123,123,"soros is a terroist who wants to destroy this country, whether you hate trump or not. listening to this dude means you hate trump more than you care about america.","no, george soros is a guy who has used his fortune to help spread freedom and democracy. that's why lowlife dictators around the world hate him, and spread lies about him on twitter. trump is trying to destroy freedom and democracy, and soros is trying to save it.",0,0,0,within
124,124,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,ewe are you serious? so you also want to destroy america! shame on you. hiw can they  bring america together? they want to destroy it.,0,0,2,between
125,125,and how did don take it?,on the golf course. movie theaters are closed.,0,0,0,within
126,126,average donation was a whopping 3 million 🥴,ahahaha truly politicians of the people eh,0,0,0,within
127,127,go get ‘em  and  !,police state 2020 right?!,0,0,0,between
128,128,america is at stake. it's now or never.,so elect a man who's wife has to speak for him? lord help us.,0,0,0,between
129,129,people need to realize robert isn't donald. no need in celebrating his passing.,no one is... but many people are saying it was,0,0,0,within
130,130,wait until voters get to know her,i know her enough. and i donated weekly.,0,2,0,between
131,131,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,,0,0,0,between
132,132,people need to realize robert isn't donald. no need in celebrating his passing.,yeah well i don't need to eat pie either. i still enjoy it. he was an asshole. he filed a lawsuit against mary trump to try to get her book held up. i'm glad he's dead.,0,2,0,between
133,133,wait until voters get to know her,wait til you find out voters know who donald trump is,0,0,0,between
134,134,people need to realize robert isn't donald. no need in celebrating his passing.,yeah well i don't need to eat pie either. i still enjoy it. he was an asshole. he filed a lawsuit against mary trump to try to get her book held up. i'm glad he's dead.,0,2,0,within
135,135,of course. malibu/hollywood/beverly hills neo-liberals love kamala. she's one of them.,lol she wishes. she is pacific heights and nob hill.,0,0,0,within
136,136,people need to realize robert isn't donald. no need in celebrating his passing.,yeah well i don't need to eat pie either. i still enjoy it. he was an asshole. he filed a lawsuit against mary trump to try to get her book held up. i'm glad he's dead.,0,2,0,between
137,137,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,are you serious? bring us together my ass.,0,0,0,between
138,138,people need to realize robert isn't donald. no need in celebrating his passing.,"you celebrate what matters. this doesn’t matter in the least. just another of the 160,000 covid-19 deaths the  couldn’t care less about. what’s tee time today?",0,0,1,within
139,139,new standard for selecting vp. must be black female most difficult for republicans to attack. gotta luv politics.,who better get when trying to beat a racist and misogynistic president? a black female is a perfect contrast to that guy.,0,0,0,between
140,140,people need to realize robert isn't donald. no need in celebrating his passing.,amen,0,0,0,within
141,141,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,is this what a president says.,0,0,2,between
142,142,remember when john mccain named sarah palin as vp pick? imagine if he’d picked somebody as smart as sen. harris. !,if you think harris is smart you’re insane,0,0,0,between
143,143,people need to realize robert isn't donald. no need in celebrating his passing.,hey. i have just as much regard for this as pigotus has about the thousands of americans who had to die due to criminally mishandling the covid-19 pandemic. 🤷,0,0,0,within
144,144,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,liberals at their finest.,0,0,0,between
145,145,"wrong brother, reaper","so true, should have been your entire family, sadly it wasn't.",0,0,0,between
146,146,jesus why? qanon is the gateway to kkk.,"huh? that's the opinion of someone who has not looked into the subject at all, and is parroting the msm.",0,0,0,within
147,147,"those of us working at restaurants and bars are scared. but we must show up, smile, and bite our tongues as these people flock here with zero precautions.  i’m having my will updated as a widowed mom of four.",im sorry,2,0,0,within
148,148,they don't trust joe to speak anymore,biden has 47 years of debating... trump's false teeth will be rattling.. 🤣,0,0,0,within
149,149,"how many presidents have we had? yet, people standing on a road is unlike anything ever seen? i have no doubt that jesse jackson and several other olympians had much larger crowds celebrating them after beating nazi germany at the 1936 berlin olympics. that's a century of crowds.",john lewis has a huge crowd coming to mourn him   a crowd that trump will never see,0,0,0,within
150,150,he was so upset about it he could barely enjoy golfing all day and spreading birther lies.,wow     are you an ass,0,0,0,between
151,151,completely agree. qanon and other conspiracy theory groups/movements are a stain on national discourse.,1st amendment. don’t agree? don’t read.,0,0,0,within
152,152,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,you’ve lost your mind!,0,0,0,between
153,153,he was so upset about it he could barely enjoy golfing all day and spreading birther lies.,"joe biden lost his 30-year-old wife neilia and 13-month-old daughter naomi, who were killed in a car accident. more than 40 years later, his son beau died following a brain cancer diagnosis. rip neilia, naomi, and beau.",0,2,0,between
154,154,i can't believe i've agreed with kinzinger more than once in a term.,no room in the party for nonbelievers.  is out of the party by friday.,0,0,0,within
155,155,he was so upset about it he could barely enjoy golfing all day and spreading birther lies.,"joe biden lost his 30-year-old wife neilia and 13-month-old daughter naomi, who were killed in a car accident. more than 40 years later, his son beau died following a brain cancer diagnosis. rip neilia, naomi, and beau.",0,2,0,between
156,156,adam kinzinger is guy who will lead reshaping the gop once trump is gone.,hah no.,0,0,0,between
157,157,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,careful what you wish for.  our country is changing and it has nothing to do with trump.  if hilary had been elected they would have been well on the way to changing our way of life. trump got in their way and they are fighting to regain the evil agenda they have  for america,0,2,0,between
158,158,he was so upset about it he could barely enjoy golfing all day and spreading birther lies.,"that's what you do when your ""best friend"" dies, right??",0,0,2,within
159,159,those ungrateful massachusiantts....(you try spelling it),"i'm a bostonian, so i don't have to!",0,0,0,within
160,160,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,you people are all style over substance. so superficial.,0,0,0,between
161,161,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,you’re definitely a democrat with those looks....,0,0,0,between
162,162,"so if kennedy loses here, is he out of congress too?",yes,0,0,0,within
163,163,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,"fox will make sure that nothing bring this country together. they have done nothing except cause a division in this country since they have been on the air. tucker carlson, sean hannity rush limbaugh just evil",0,0,0,between
164,164,what did he die of? covid-19?,"get this, its in the article.",0,0,0,within
165,165,"so if kennedy loses here, is he out of congress too?","like his grandfather and romney, he'll pitch his tent in another state where he thinks he has a shot. possibly ca. newsome will appoint harris' replacement but the seat will soon be open. and di fi's on life support. going to stanford counts for nominal ca residency, right?",0,0,0,within
166,166,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,a confused dementia patient and an opportunist who slept her way up?,0,0,2,between
167,167,what did he die of? covid-19?,brain bleed he had fallen a few months back and they were never estranged .. shameful reporting,0,2,0,between
168,168,"yep. we're good on clinton's,  bush's and kennedy's. thank you",chelsea 2032!,0,0,0,within
169,169,what did he die of? covid-19?,brain bleed he had fallen a few months back and they were never estranged .. shameful reporting,0,2,0,between
170,170,"i enslaved prisoners
i faked weed smoking time line 
i lockup 1500+ for the same weed shit 
i blocked evidence freeing innocent man from the death 
i failed primary's 
i drop out 

all of sudden i am ready now ! 

who am i ?
rt till november

asking from my friends",donald has been keeping migrants in detention centers indefinitely for a misdemeanor.,0,0,0,between
171,171,"it was pure gold, no matter what.","no the color is gray. or at least the cells where she throws innocent minorities into are. vote educated, not for racism.",0,0,0,within
172,172,"it's almost like the first amendment exists still.

p.s. that image you're using is weeks old, since the feds left, things are peaceful.",no it's not,0,0,0,between
173,173,what did he die of? covid-19?,"the president briefly visited his brother in the hospital a few days ago. that alone makes it evident that his brother did not have covid, given the very strict rules that everyone who meets the president had to test negative for covid.",0,0,0,within
174,174,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,demented and sad.,0,2,0,between
175,175,"it's not a disincentive to give billionaires who ran a company into the ground a bailout and tax breaks, but when it comes to people who are out of work because of circumstances that is out of their control, giving them an extra $2,400 a month to get by is somehow a disincentive.",they can give millions to big corporations put they can’t give the hard americans that keep this economy going 2400 a month incredible. republicans for them not for the americans people.,0,0,0,within
176,176,what did he die of? covid-19?,none of our business,0,0,0,between
177,177,"it's not a disincentive to give billionaires who ran a company into the ground a bailout and tax breaks, but when it comes to people who are out of work because of circumstances that is out of their control, giving them an extra $2,400 a month to get by is somehow a disincentive.","if people have the choice to wait until the pandemic is under control before resuming normal habits, the economic numbers will be bad for trump. that's a perverse incentive for the wh to make people resume normal habits now, even though the pandemic is not remotely under control.",0,0,0,within
178,178,what did he die of? covid-19?,i was wondering the same thing.  he had only been sick “for a few months.”,0,2,0,within
179,179,trump is catching up.  vote.,no he’s not...,0,0,0,within
180,180,truly sorry for those who love him.,it is what it is,0,0,0,within
181,181,trump is catching up.  vote.,"no, isn’t catching up, he’s the ass in 2-person horse costume, so technically he’s still behind.",0,0,0,within
182,182,glad you are airing it live.  listening to biden and now harris i remember how and what a president should sound and be like.  someone to bring us together and bring out the best in america instead of the worst,"that's a good, little sheep! it's how  politicians and salesmen want you to feel! think",0,0,0,between
183,183,lol no one cares  🤣,that is unkind.,0,0,0,within
184,184,lol no one cares  🤣,that is unkind.,0,0,0,within
185,185,still can't believe it isn't more.,it's way more.,0,2,0,within
186,186,what did he die of? why no msm reported about the causation of death?,how would they know unless the family releases the cause of death?,0,0,2,within
